"Data Source","World Development Indicators",

"Last Updated Date","2017-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Dominica","DMA","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2892680264824","18.3198535122341","15.6423822438489","11.7683876848834","12.0668407252331","13.6588618867345","18.8574575989846","10.6089643710959","10.9423220019884","11.8690791695928","13.9686022476146","15.9812276528874","17.3617452208603","18.7895740532836","23.4912607434705","43.7638779749518",
"Denmark","DNK","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3065394709017","7.51475516484269","5.98209980918234","5.69794545323451","6.18546509131562","4.2989282947863","4.30200204785992","2.78939527815839","3.86251146965648","2.76145345558213","3.2806282582222","5.41206893250736","4.34061284209637","2.86969697393758","2.68053534298019","3.7509056959757",
"Dominican Republic","DOM","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4489146653701","17.8118557683075","42.1227761151913","60.0558746900128","62.9597378754487","53.8110489272575","45.7472282059839","42.1097975689871","45.7512841186226","47.0244247509333","48.4028966597611","46.1028299245608","44.5530855429058","39.4509340722718","35.2245218658137","36.4871815613658",
"Algeria","DZA","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2884538302325","44.5116338064612","61.4377853658619","61.7084455994985","54.0172958252178","74.6838659202599","102.200986180305","118.738473282609","86.4958608296862","86.7670633823492","85.0100594984695","75.3240668543509","59.8285894803153","49.6211732555414","33.3451629028354","17.433053375456",
"East Asia & Pacific (excluding high income)","EAP","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2480821222299","19.2941749551143","20.6358400070508","25.435830869188","23.7374701375661","31.7414144179749","26.2534729796468","20.0509082931914","28.2900353712528","31.4782599058214","35.2312951101986","31.8177934064507","31.2149931344245","28.0540060058264","25.1718522314798","29.8148173474855",
"Early-demographic dividend","EAR","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0014609464392","20.6109157734982","23.0717128100923","24.8893076434423","22.2710115006075","25.4888809156125","22.9462158090969","20.1254118934018","25.7553108912567","27.8341492009849","25.2746251473863","26.2115292026237","25.199933379043","25.2266697790703","25.6247251110442","25.9191827084858",
"East Asia & Pacific","EAS","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3621423685972","19.1158036182866","23.9378440974756","15.1852752193163","16.5393362476338","17.4617117479051","15.9795643608383","24.0949831699489","23.9912871411824","23.7637778304792","21.541394804927","20.7079318497221","21.2781224970548","22.766442422389","",
"Europe & Central Asia (excluding high income)","ECA","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0851253287207","17.2119285641025","18.5326093806477","21.6829723942595","25.4275952026205","24.2140102510081","19.2106371018598","16.7726182959581","17.1982494892102","18.2682278794285","21.0088830787255","18.987452409619","20.5373093291608","20.1183012736267","23.5329080547413","26.9829533400147",
"Europe & Central Asia","ECS","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.77390327845483","4.97148981066692","3.48875821604433","3.69801982667871","3.94515662348503","3.96405094203001","4.26911133422839","6.31750344841891","6.69594730274918","5.10370562390853","4.92952506464444","6.54036926351988","9.80060284408821","6.99334657554566","5.53286566797338","12.5963779358554",
"Egypt, Arab Rep.","EGY","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4746187273571","23.7012475558371","36.6724089854216","37.980982464129","39.468067281995","43.1836102129573","57.4175879942186","42.4728017236498","40.4042101337401","41.2938530103092","20.0068787229858","15.7483679018937","31.1253595106003","32.7696444305507","40.9452054385638","45.2462702305438",
"Euro area","EMU","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.0349456877092","73.474597942232","74.9413600585285","62.5202910497584","57.4706969034094","63.5995538745227","83.2068936446886","98.7890458026877","116.104160252147","121.786114660546","98.5462657613363","91.7580969897865","136.876629460243","159.126254489408","","",
"Spain","ESP","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
